index,movie_name,document
207,OMG: Oh My God!,OMG: Oh My God! A shopkeeper takes God to court when his shop is destroyed by an earthquake. Umesh Shukla Paresh Rawal Akshay Kumar Mithun Chakraborty Mahesh Manjrekar U 2012
208,The Grand Budapest Hotel,"The Grand Budapest Hotel A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge. Wes Anderson Ralph Fiennes F. Murray Abraham Mathieu Amalric Adrien Brody UA 2014"
209,Gone Girl,"Gone Girl With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent. David Fincher Ben Affleck Rosamund Pike Neil Patrick Harris Tyler Perry A 2014"
210,Ôkami kodomo no Ame to Yuki,"Ôkami kodomo no Ame to Yuki After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society. Mamoru Hosoda Aoi Miyazaki Takao Osawa Haru Kuroki Yukito Nishii U 2012"
211,Hacksaw Ridge,"Hacksaw Ridge World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot. Mel Gibson Andrew Garfield Sam Worthington Luke Bracey Teresa Palmer A 2016"
212,Inside Out,"Inside Out After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school. Pete Docter Ronnie Del Carmen Amy Poehler Bill Hader Lewis Black U 2015"
213,Barfi!,Barfi! Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal. Anurag Basu Ranbir Kapoor Priyanka Chopra Ileana D'Cruz Saurabh Shukla U 2012
214,12 Years a Slave,"12 Years a Slave In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Steve McQueen Chiwetel Ejiofor Michael Kenneth Williams Michael Fassbender Brad Pitt A 2013"
215,Rush,Rush The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda. Ron Howard Daniel Brühl Chris Hemsworth Olivia Wilde Alexandra Maria Lara UA 2013
216,Ford v Ferrari,Ford v Ferrari American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966. James Mangold Matt Damon Christian Bale Jon Bernthal Caitriona Balfe UA 2019
217,Spotlight,"Spotlight The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core. Tom McCarthy Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber A 2015"
218,Song of the Sea,"Song of the Sea Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world. Tomm Moore David Rawle Brendan Gleeson Lisa Hannigan Fionnula Flanagan PG 2014"
219,Kahaani,"Kahaani A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him. Sujoy Ghosh Vidya Balan Parambrata Chattopadhyay Indraneil Sengupta Nawazuddin Siddiqui UA 2012"
220,Zindagi Na Milegi Dobara,Zindagi Na Milegi Dobara Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged. Zoya Akhtar Hrithik Roshan Farhan Akhtar Abhay Deol Katrina Kaif U 2011
221,Prisoners,"Prisoners When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. Denis Villeneuve Hugh Jackman Jake Gyllenhaal Viola Davis Melissa Leo A 2013"
222,Mad Max: Fury Road,"Mad Max: Fury Road In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max. George Miller Tom Hardy Charlize Theron Nicholas Hoult Zoë Kravitz UA 2015"
223,A Wednesday,A Wednesday A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday. Neeraj Pandey Anupam Kher Naseeruddin Shah Jimmy Sheirgill Aamir Bashir UA 2008
224,Gran Torino,"Gran Torino Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino. Clint Eastwood Clint Eastwood Bee Vang Christopher Carley Ahney Her R 2008"
225,Harry Potter and the Deathly Hallows: Part 2,"Harry Potter and the Deathly Hallows: Part 2 Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts. David Yates Daniel Radcliffe Emma Watson Rupert Grint Michael Gambon UA 2011"
226,Okuribito,Okuribito A newly unemployed cellist takes a job preparing the dead for funerals. Yôjirô Takita Masahiro Motoki Ryôko Hirosue Tsutomu Yamazaki Kazuko Yoshiyuki PG-13 2008
227,Hachi: A Dog's Tale,Hachi: A Dog's Tale A college professor bonds with an abandoned dog he takes into his home. Lasse Hallström Richard Gere Joan Allen Cary-Hiroyuki Tagawa Sarah Roemer G 2009
228,Mary and Max,"Mary and Max A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York. Adam Elliot Toni Collette Philip Seymour Hoffman Eric Bana Barry Humphries nan 2009"
229,How to Train Your Dragon,"How to Train Your Dragon A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed. Dean DeBlois Chris Sanders Jay Baruchel Gerard Butler Christopher Mintz-Plasse U 2010"
230,Into the Wild,"Into the Wild After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life. Sean Penn Emile Hirsch Vince Vaughn Catherine Keener Marcia Gay Harden R 2007"
231,No Country for Old Men,No Country for Old Men Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande. Ethan Coen Joel Coen Tommy Lee Jones Javier Bardem Josh Brolin R 2007
232,Lage Raho Munna Bhai,Lage Raho Munna Bhai Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer. Rajkumar Hirani Sanjay Dutt Arshad Warsi Vidya Balan Boman Irani U 2006
233,Million Dollar Baby,Million Dollar Baby A determined woman works with a hardened boxing trainer to become a professional. Clint Eastwood Hilary Swank Clint Eastwood Morgan Freeman Jay Baruchel UA 2004
234,Hotel Rwanda,"Hotel Rwanda Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa. Terry George Don Cheadle Sophie Okonedo Joaquin Phoenix Xolani Mali PG-13 2004"
235,Taegukgi hwinalrimyeo,"Taegukgi hwinalrimyeo When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle. Je-kyu Kang Jang Dong-Gun Won Bin Eun-ju Lee Hyeong-jin Kong R 2004"
236,Before Sunset,"Before Sunset Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour. Richard Linklater Ethan Hawke Julie Delpy Vernon Dobtcheff Louise Lemoine Torrès R 2004"
237,Munna Bhai M.B.B.S.,Munna Bhai M.B.B.S. A gangster sets out to fulfill his father's dream of becoming a doctor. Rajkumar Hirani Sanjay Dutt Arshad Warsi Gracy Singh Sunil Dutt U 2003
238,Salinui chueok,"Salinui chueok In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit. Bong Joon Ho Kang-ho Song Kim Sang-kyung Roe-ha Kim Jae-ho Song UA 2003"
239,Dil Chahta Hai,"Dil Chahta Hai Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension. Farhan Akhtar Aamir Khan Saif Ali Khan Akshaye Khanna Preity Zinta Unrated 2001"
240,Kill Bill: Vol. 1,"Kill Bill: Vol. 1 After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her. Quentin Tarantino Uma Thurman David Carradine Daryl Hannah Michael Madsen R 2003"
241,Finding Nemo,"Finding Nemo After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home. Andrew Stanton Lee Unkrich Albert Brooks Ellen DeGeneres Alexander Gould U 2003"
242,Catch Me If You Can,"Catch Me If You Can Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit. Steven Spielberg Leonardo DiCaprio Tom Hanks Christopher Walken Martin Sheen A 2002"
243,Amores perros,"Amores perros A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love. Alejandro G. Iñárritu Emilio Echevarría Gael García Bernal Goya Toledo Álvaro Guerrero A 2000"
244,"Monsters, Inc.","Monsters, Inc. In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think. Pete Docter David Silverman Lee Unkrich Billy Crystal John Goodman U 2001"
245,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni Concurrent theatrical ending of the TV series Shin seiki evangerion (1995). Hideaki Anno Kazuya Tsurumaki Megumi Ogata Megumi Hayashibara Yûko Miyamura UA 1997"
246,Lagaan: Once Upon a Time in India,Lagaan: Once Upon a Time in India The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers. Ashutosh Gowariker Aamir Khan Raghuvir Yadav Gracy Singh Rachel Shelley U 2001
247,The Sixth Sense,The Sixth Sense A boy who communicates with spirits seeks the help of a disheartened child psychologist. M. Night Shyamalan Bruce Willis Haley Joel Osment Toni Collette Olivia Williams A 1999
248,La leggenda del pianista sull'oceano,"La leggenda del pianista sull'oceano A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land. Giuseppe Tornatore Tim Roth Pruitt Taylor Vince Mélanie Thierry Bill Nunn U 1998"
249,The Truman Show,The Truman Show An insurance salesman discovers his whole life is actually a reality TV show. Peter Weir Jim Carrey Ed Harris Laura Linney Noah Emmerich U 1998
250,"Crna macka, beli macor","Crna macka, beli macor Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster. Emir Kusturica Bajram Severdzan Srdjan 'Zika' Todorovic Branka Katic Florijan Ajdini R 1998"
251,The Big Lebowski,"The Big Lebowski Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it. Joel Coen Ethan Coen Jeff Bridges John Goodman Julianne Moore R 1998"
252,Fa yeung nin wah,"Fa yeung nin wah Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs. Kar-Wai Wong Tony Chiu-Wai Leung Maggie Cheung Ping Lam Siu Tung Cho 'Joe' Cheung U 2000"
253,Trainspotting,"Trainspotting Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends. Danny Boyle Ewan McGregor Ewen Bremner Jonny Lee Miller Kevin McKidd A 1996"
254,Fargo,Fargo Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson. Joel Coen Ethan Coen William H. Macy Frances McDormand Steve Buscemi A 1996
255,Underground,"Underground A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate. Emir Kusturica Predrag 'Miki' Manojlovic Lazar Ristovski Mirjana Jokovic Slavko Stimac nan 1995"
256,La haine,La haine 24 hours in the lives of three young men in the French suburbs the day after a violent riot. Mathieu Kassovitz Vincent Cassel Hubert Koundé Saïd Taghmaoui Abdel Ahmed Ghili UA 1995
257,Dilwale Dulhania Le Jayenge,"Dilwale Dulhania Le Jayenge When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt. Aditya Chopra Shah Rukh Khan Kajol Amrish Puri Farida Jalal U 1995"
258,Before Sunrise,"Before Sunrise A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together. Richard Linklater Ethan Hawke Julie Delpy Andrea Eckert Hanno Pöschl R 1995"
259,Trois couleurs: Rouge,Trois couleurs: Rouge A model discovers a retired judge is keen on invading people's privacy. Krzysztof Kieslowski Irène Jacob Jean-Louis Trintignant Frédérique Feder Jean-Pierre Lorit U 1994
260,Chung Hing sam lam,"Chung Hing sam lam Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents. Kar-Wai Wong Brigitte Lin Takeshi Kaneshiro Tony Chiu-Wai Leung Faye Wong U 1994"
261,Jurassic Park,Jurassic Park A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose. Steven Spielberg Sam Neill Laura Dern Jeff Goldblum Richard Attenborough UA 1993
262,In the Name of the Father,In the Name of the Father A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them. Jim Sheridan Daniel Day-Lewis Pete Postlethwaite Alison Crosbie Philip King UA 1993
263,Ba wang bie ji,Ba wang bie ji Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history. Kaige Chen Leslie Cheung Fengyi Zhang Gong Li You Ge R 1993
264,Dà hóng denglong gaogao guà,"Dà hóng denglong gaogao guà A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household. Yimou Zhang Gong Li Jingwu Ma Saifei He Cuifen Cao PG 1991"
265,Dead Poets Society,Dead Poets Society Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression. Peter Weir Robin Williams Robert Sean Leonard Ethan Hawke Josh Charles U 1989
266,Stand by Me,"Stand by Me After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy. Rob Reiner Wil Wheaton River Phoenix Corey Feldman Jerry O'Connell U 1986"
267,Platoon,"Platoon Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict. Oliver Stone Charlie Sheen Tom Berenger Willem Dafoe Keith David A 1986"
268,"Paris, Texas","Paris, Texas Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family. Wim Wenders Harry Dean Stanton Nastassja Kinski Dean Stockwell Aurore Clément U 1984"
269,Kaze no tani no Naushika,Kaze no tani no Naushika Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet. Hayao Miyazaki Sumi Shimamoto Mahito Tsujimura Hisako Kyôda Gorô Naya U 1984
270,The Thing,The Thing A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims. John Carpenter Kurt Russell Wilford Brimley Keith David Richard Masur A 1982
271,Pink Floyd: The Wall,Pink Floyd: The Wall A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone. Alan Parker Bob Geldof Christine Hargreaves James Laurenson Eleanor David UA 1982
272,Fitzcarraldo,"Fitzcarraldo The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle. Werner Herzog Klaus Kinski Claudia Cardinale José Lewgoy Miguel Ángel Fuentes R 1982"
273,Fanny och Alexander,"Fanny och Alexander Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls. Ingmar Bergman Bertil Guve Pernilla Allwin Kristina Adolphson Börje Ahlstedt A 1982"
274,Blade Runner,"Blade Runner A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator. Ridley Scott Harrison Ford Rutger Hauer Sean Young Edward James Olmos UA 1982"
275,The Elephant Man,"The Elephant Man A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication. David Lynch Anthony Hopkins John Hurt Anne Bancroft John Gielgud UA 1980"
276,Life of Brian,"Life of Brian Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah. Terry Jones Graham Chapman John Cleese Michael Palin Terry Gilliam R 1979"
277,The Deer Hunter,The Deer Hunter An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania. Michael Cimino Robert De Niro Christopher Walken John Cazale John Savage A 1978
278,Rocky,Rocky A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect. John G. Avildsen Sylvester Stallone Talia Shire Burt Young Carl Weathers U 1976
279,Network,Network A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit. Sidney Lumet Faye Dunaway William Holden Peter Finch Robert Duvall UA 1976
280,Barry Lyndon,Barry Lyndon An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England. Stanley Kubrick Ryan O'Neal Marisa Berenson Patrick Magee Hardy Krüger PG 1975
281,Zerkalo,"Zerkalo A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation. Andrei Tarkovsky Margarita Terekhova Filipp Yankovskiy Ignat Daniltsev Oleg Yankovskiy G 1975"
282,Chinatown,"Chinatown A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder. Roman Polanski Jack Nicholson Faye Dunaway John Huston Perry Lopez UA 1974"
283,Paper Moon,"Paper Moon During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership. Peter Bogdanovich Ryan O'Neal Tatum O'Neal Madeline Kahn John Hillerman U 1973"
284,Viskningar och rop,"Viskningar och rop When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface. Ingmar Bergman Harriet Andersson Liv Ullmann Kari Sylwan Ingrid Thulin A 1972"
285,Solaris,Solaris A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane. Andrei Tarkovsky Natalya Bondarchuk Donatas Banionis Jüri Järvet Vladislav Dvorzhetskiy PG 1972
286,Le samouraï,Le samouraï After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner. Jean-Pierre Melville Alain Delon François Périer Nathalie Delon Cathy Rosier GP 1967
287,Cool Hand Luke,"Cool Hand Luke A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform. Stuart Rosenberg Paul Newman George Kennedy Strother Martin J.D. Cannon A 1967"
288,Persona,Persona A nurse is put in charge of a mute actress and finds that their personae are melding together. Ingmar Bergman Bibi Andersson Liv Ullmann Margaretha Krook Gunnar Björnstrand nan 1966
289,Andrei Rublev,"Andrei Rublev The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev. Andrei Tarkovsky Anatoliy Solonitsyn Ivan Lapikov Nikolay Grinko Nikolay Sergeev R 1966"
290,La battaglia di Algeri,"La battaglia di Algeri In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government. Gillo Pontecorvo Brahim Hadjadj Jean Martin Yacef Saadi Samia Kerbash nan 1966"
291,El ángel exterminador,El ángel exterminador The guests at an upper-class dinner party find themselves unable to leave. Luis Buñuel Silvia Pinal Jacqueline Andere Enrique Rambal José Baviera nan 1962
292,What Ever Happened to Baby Jane?,What Ever Happened to Baby Jane? A former child star torments her paraplegic sister in their decaying Hollywood mansion. Robert Aldrich Bette Davis Joan Crawford Victor Buono Wesley Addy Passed 1962
293,Sanjuro,"Sanjuro A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent. Akira Kurosawa Toshirô Mifune Tatsuya Nakadai Keiju Kobayashi Yûnosuke Itô U 1962"
294,The Man Who Shot Liberty Valance,The Man Who Shot Liberty Valance A senator returns to a western town for the funeral of an old friend and tells the story of his origins. John Ford James Stewart John Wayne Vera Miles Lee Marvin nan 1962
295,Ivanovo detstvo,"Ivanovo detstvo In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers. Andrei Tarkovsky Eduard Abalov Nikolay Burlyaev Valentin Zubkov Evgeniy Zharikov nan 1962"
296,Jungfrukällan,"Jungfrukällan An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way. Ingmar Bergman Max von Sydow Birgitta Valberg Gunnel Lindblom Birgitta Pettersson A 1960"
297,Inherit the Wind,"Inherit the Wind Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution. Stanley Kramer Spencer Tracy Fredric March Gene Kelly Dick York Passed 1960"
298,Les quatre cents coups,"Les quatre cents coups A young boy, left without attention, delves into a life of petty crime. François Truffaut Jean-Pierre Léaud Albert Rémy Claire Maurier Guy Decomble nan 1959"
299,Ben-Hur,"Ben-Hur After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge. William Wyler Charlton Heston Jack Hawkins Stephen Boyd Haya Harareet U 1959"
300,Kakushi-toride no san-akunin,"Kakushi-toride no san-akunin Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines. Akira Kurosawa Toshirô Mifune Misa Uehara Minoru Chiaki Kamatari Fujiwara nan 1958"
301,Le notti di Cabiria,Le notti di Cabiria A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak. Federico Fellini Giulietta Masina François Périer Franca Marzi Dorian Gray nan 1957
302,Kumonosu-jô,"Kumonosu-jô A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle. Akira Kurosawa Toshirô Mifune Minoru Chiaki Isuzu Yamada Takashi Shimura nan 1957"
303,The Bridge on the River Kwai,"The Bridge on the River Kwai British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it. David Lean William Holden Alec Guinness Jack Hawkins Sessue Hayakawa PG 1957"
304,On the Waterfront,On the Waterfront An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses. Elia Kazan Marlon Brando Karl Malden Lee J. Cobb Rod Steiger A 1954
305,Le salaire de la peur,"Le salaire de la peur In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe. Henri-Georges Clouzot Yves Montand Charles Vanel Peter van Eyck Folco Lulli U 1953"
306,Ace in the Hole,"Ace in the Hole A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus. Billy Wilder Kirk Douglas Jan Sterling Robert Arthur Porter Hall Approved 1951"
307,White Heat,White Heat A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist. Raoul Walsh James Cagney Virginia Mayo Edmond O'Brien Margaret Wycherly nan 1949
308,The Third Man,"The Third Man Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime. Carol Reed Orson Welles Joseph Cotten Alida Valli Trevor Howard Approved 1949"
309,The Red Shoes,The Red Shoes A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina. Michael Powell Emeric Pressburger Anton Walbrook Marius Goring Moira Shearer nan 1948
310,The Shop Around the Corner,"The Shop Around the Corner Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal. Ernst Lubitsch Margaret Sullavan James Stewart Frank Morgan Joseph Schildkraut nan 1940"
311,Rebecca,Rebecca A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence. Alfred Hitchcock Laurence Olivier Joan Fontaine George Sanders Judith Anderson Approved 1940
312,Mr. Smith Goes to Washington,"Mr. Smith Goes to Washington A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down. Frank Capra James Stewart Jean Arthur Claude Rains Edward Arnold Passed 1939"
313,Gone with the Wind,Gone with the Wind A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods. Victor Fleming George Cukor Sam Wood Clark Gable Vivien Leigh U 1939
314,La Grande Illusion,"La Grande Illusion During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress. Jean Renoir Jean Gabin Dita Parlo Pierre Fresnay Erich von Stroheim nan 1937"
315,It Happened One Night,"It Happened One Night A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops. Frank Capra Clark Gable Claudette Colbert Walter Connolly Roscoe Karns Approved 1934"
316,La passion de Jeanne d'Arc,"La passion de Jeanne d'Arc In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions. Carl Theodor Dreyer Maria Falconetti Eugene Silvain André Berley Maurice Schutz Passed 1928"
317,The Circus,The Circus The Tramp finds work and the girl of his dreams at a circus. Charles Chaplin Charles Chaplin Merna Kennedy Al Ernest Garcia Harry Crocker Passed 1928
318,Sunrise: A Song of Two Humans,Sunrise: A Song of Two Humans An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife. F.W. Murnau George O'Brien Janet Gaynor Margaret Livingston Bodil Rosing Passed 1927
319,The General,"The General When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines. Clyde Bruckman Buster Keaton Buster Keaton Marion Mack Glen Cavender Passed 1926"
320,Das Cabinet des Dr. Caligari,"Das Cabinet des Dr. Caligari Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders. Robert Wiene Werner Krauss Conrad Veidt Friedrich Feher Lil Dagover nan 1920"
321,Badhaai ho,Badhaai ho A man is embarrassed when he finds out his mother is pregnant. Amit Ravindernath Sharma Ayushmann Khurrana Neena Gupta Gajraj Rao Sanya Malhotra UA 2018
322,Togo,"Togo The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race. Ericson Core Willem Dafoe Julianne Nicholson Christopher Heyerdahl Richard Dormer U 2019"
323,Airlift,"Airlift When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen. Raja Menon Akshay Kumar Nimrat Kaur Kumud Mishra Prakash Belawadi UA 2016"
324,Bajrangi Bhaijaan,Bajrangi Bhaijaan An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family. Kabir Khan Salman Khan Harshaali Malhotra Nawazuddin Siddiqui Kareena Kapoor UA 2015
325,Baby,"Baby An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India. Neeraj Pandey Akshay Kumar Danny Denzongpa Rana Daggubati Taapsee Pannu UA 2015"
326,La La Land,"La La Land While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future. Damien Chazelle Ryan Gosling Emma Stone Rosemarie DeWitt J.K. Simmons A 2016"
327,Lion,"Lion A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family. Garth Davis Dev Patel Nicole Kidman Rooney Mara Sunny Pawar U 2016"
328,The Martian,"The Martian An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive. Ridley Scott Matt Damon Jessica Chastain Kristen Wiig Kate Mara UA 2015"
329,Zootopia,"Zootopia In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy. Byron Howard Rich Moore Jared Bush Ginnifer Goodwin Jason Bateman U 2016"
